input_filename,run_number,log10_scale_diff,interior_area_iou,log10_unscaled_area_diff,log10_area_diff
01_200_East_23rd_Street_19A,1,0.0429725636214,0.906440253707,0.010238481845,0.0961836090878
04_320_East_23rd_Street_3K,1,0.0289636959353,0.856733756689,-0.0319267164243,0.0260006754463
05_320_East_23rd_Street_4H,1,-0.0201501576597,0.918523799167,0.0276078574209,-0.0126924578985
09_1_Irving_Place_G9B,1,0.0333778344651,0.908935148307,0.0022857869018,0.069041455832
10_290_3rd_Avenue_29E,1,-0.0366921596657,0.874725795664,-0.0401976189886,-0.11358193832
20_157_East_18th_Street_6A,1,-0.0374012663384,0.879950310469,-0.0049684086794,-0.0797709413562
22_350_East_18th_Street_5E,1,0.0193059341053,0.905490288556,-0.0430664016046,-0.00445453339399
23_301_East_22nd_Street_8U,1,-0.00611834749822,0.894560069455,-0.0386512849772,-0.0508879799736
24_346_East_20th_Street_9,1,0.0389866153923,0.934962808456,0.0015443826099,0.0795176133945
28_290_3rd_Avenue_17A,1,-0.037587817616,0.830711585519,-0.038707168598,-0.11388280383
30_157_East_18th_Street_1G,1,0.00839028960404,0.879101546025,-0.0129254424009,0.00385513680714
36_225_East_19th_Street_605,1,0.0104620799257,0.925352511341,-0.0328615259056,-0.0119373660542
39_200_East_23rd_Street_8D,1,-0.00602107842774,0.765998049018,-0.116067855079,-0.128110011934
40_290_3rd_Avenue_23D,1,0.0306946567872,0.897913106528,-0.0169731451596,0.0444161684148
41_320_East_23rd_Street_16th_floor,1,0.0170646612414,0.955204324893,0.0135316670053,0.0476609894881
01_200_East_23rd_Street_19A,2,0.0615818882757,0.974027033116,0.0045489549536,0.127712731505
04_320_East_23rd_Street_3K,2,0.00352155683536,0.979241168193,-0.00627212430169,0.000770989369029
05_320_East_23rd_Street_4H,2,0.000371509484891,0.966219097443,-0.0142738415042,-0.0135308225344
09_1_Irving_Place_G9B,2,-0.0469723956354,0.882702688808,0.0518994327436,-0.0420453585272
10_290_3rd_Avenue_29E,2,-0.00172862179742,0.963752707846,-0.0147569558777,-0.0182141994725
20_157_East_18th_Street_6A,2,-0.0374012663384,0.983296271937,0.0042226374514,-0.0705798952254
22_350_East_18th_Street_5E,2,0.00699391125029,0.980918468197,-0.00728050983792,0.00670731266266
23_301_East_22nd_Street_8U,2,0.00692046137706,0.984789491499,-0.00403838599672,0.0098025367574
24_346_East_20th_Street_9,2,-0.0362643370268,0.980242541231,-0.0004530527323,-0.0729817267859
28_290_3rd_Avenue_17A,2,-0.0353054682464,0.979715550884,-0.0032096019709,-0.0738205384637
30_157_East_18th_Street_1G,2,-0.0354556512888,0.986626589339,-0.0047299740035,-0.0756412765811
36_225_East_19th_Street_605,2,-0.0144304907477,0.995146660516,-2.61164375e-05,-0.0288870979329
39_200_East_23rd_Street_8D,2,0.0867207423249,0.944805780576,-0.0126161667238,0.160825317926
40_290_3rd_Avenue_23D,2,0.0194973223221,0.991124731145,0.0012462495754,0.0402408942196
41_320_East_23rd_Street_16th_floor,2,0.0170646612414,0.960540790614,-0.009114215467,0.0250151070158
01_200_East_23rd_Street_19A,3,-0.00791895759259,0.97384976211,0.00414446487568,-0.0116934503095
04_320_East_23rd_Street_3K,3,-0.0189177545533,0.978013502281,-0.0061981792704,-0.044033688377
05_320_East_23rd_Street_4H,3,-0.0201501576597,0.969260306653,-0.0123490889555,-0.0526494042749
09_1_Irving_Place_G9B,3,-0.00933975663887,0.931130401488,-0.0168251088518,-0.0355046221295
10_290_3rd_Avenue_29E,3,-0.0474364730297,0.974543943627,-0.0076043741816,-0.102477320241
20_157_East_18th_Street_6A,3,-0.0374012663384,0.968125475285,-0.0039740121345,-0.0787765448113
